,median_house_value
582,340400.0
583,274700.0
584,238600.0
585,266400.0
586,330200.0
587,206800.0
588,209200.0
589,195800.0
590,253500.0
591,241800.0
592,252500.0
593,263900.0
594,227000.0
595,220900.0
596,259300.0
597,232500.0
598,231600.0
599,209400.0
600,223200.0
601,209900.0
602,208200.0
603,203800.0
604,195700.0
605,190500.0
606,181000.0
607,184900.0
608,190800.0
609,242200.0
610,188300.0
611,183500.0
612,204200.0
613,251900.0
614,187500.0
615,198200.0
616,219000.0
617,275000.0
618,245400.0
619,177500.0
620,171600.0
621,183300.0
622,175000.0
623,156700.0
624,157500.0
625,179800.0
626,205500.0
627,178900.0
628,262500.0
629,165000.0
630,159700.0
631,158300.0
632,144800.0
633,166300.0
634,191000.0
635,175000.0
636,137500.0
637,141700.0
638,210900.0
639,198300.0
640,157400.0
641,264700.0
642,218400.0
643,235100.0
644,341800.0
645,367300.0
646,243500.0
647,167900.0
648,371200.0
649,218900.0
650,202700.0
651,186200.0
652,188900.0
653,180000.0
654,202700.0
655,181700.0
656,166800.0
657,183700.0
658,218000.0
659,191500.0
660,194700.0
661,187200.0
662,223100.0
663,271300.0
664,194100.0
665,190400.0
666,189100.0
667,184600.0
668,197300.0
669,192600.0
670,192200.0
671,194600.0
672,193500.0
673,202600.0
674,83300.0
675,212600.0
676,187800.0
677,205700.0
678,192900.0
679,205200.0
680,213400.0
681,183600.0
682,178400.0
683,219200.0
684,183100.0
685,157100.0
686,157800.0
687,161700.0
688,152100.0
689,144900.0
690,179900.0
691,179100.0
692,159900.0
693,161400.0
694,170400.0
695,137500.0
696,178400.0
697,155200.0
698,160900.0
699,167300.0
700,340000.0
701,431000.0
702,301100.0
703,241900.0
704,162500.0
705,299200.0
706,315500.0
707,216800.0
708,218100.0
709,170300.0
710,275000.0
711,184100.0
712,160000.0
713,175000.0
714,197500.0
715,150000.0
716,205600.0
717,170300.0
718,190900.0
719,196900.0
720,174000.0
721,170200.0
722,180900.0
723,150500.0
724,167100.0
725,148900.0
726,196400.0
727,191100.0
728,187500.0
729,180600.0
730,182800.0
731,179300.0
732,179400.0
733,210300.0
734,192300.0
735,198100.0
736,196200.0
737,181600.0
738,186900.0
739,188300.0
740,184000.0
741,184700.0
742,179900.0
743,167200.0
744,165400.0
745,154000.0
746,153500.0
747,135400.0
748,158300.0
749,240700.0
750,180700.0
751,230600.0
752,210800.0
753,165300.0
754,254200.0
755,332600.0
756,350000.0
757,161200.0
758,179300.0
759,154300.0
760,161800.0
761,161900.0
762,165400.0
763,166600.0
764,149700.0
765,162100.0
766,152600.0
767,195200.0
768,190600.0
769,193800.0
770,200600.0
771,150000.0
772,185300.0
773,172700.0
774,174100.0
775,194400.0
776,206700.0
777,204500.0
778,175000.0
779,137500.0
780,187200.0
781,173600.0
782,163000.0
783,331600.0
784,197600.0
785,197900.0
786,228100.0
787,189500.0
788,184200.0
789,180900.0
790,172000.0
791,177900.0
792,173100.0
793,172600.0
794,182100.0
795,179500.0
796,176000.0
797,192600.0
798,182700.0
799,134900.0
800,157600.0
801,190900.0
802,158200.0
803,350000.0
804,158200.0
805,146100.0
806,226700.0
807,198700.0
808,221200.0
809,208500.0
810,204200.0
811,193200.0
812,209500.0
813,164900.0
814,161400.0
815,187000.0
816,190400.0
817,156600.0
818,157300.0
819,168100.0
820,177600.0
821,208900.0
822,169200.0
823,163900.0
824,164700.0
825,156900.0
826,168800.0
827,174100.0
828,206500.0
829,203900.0
830,217000.0
831,159600.0
832,159800.0
833,154300.0
834,149600.0
835,188600.0
836,238500.0
837,235300.0
838,261400.0
839,234400.0
840,231700.0
841,156300.0
842,222000.0
843,254400.0
844,244300.0
845,247000.0
846,236500.0
847,151400.0
848,213700.0
849,243600.0
850,212500.0
851,214700.0
852,213200.0
853,256000.0
854,237500.0
855,178100.0
856,231800.0
857,147900.0
858,191700.0
859,247600.0
860,283500.0
861,216900.0
862,282500.0
863,295600.0
864,281800.0
865,269800.0
866,231200.0
867,318300.0
868,253400.0
869,278200.0
870,300000.0
871,273500.0
872,223400.0
873,214500.0
874,220200.0
875,240300.0
876,158000.0
877,224200.0
878,177200.0
879,216100.0
880,269700.0
881,231200.0
882,162500.0
883,254000.0
884,196200.0
885,189400.0
886,220800.0
887,213800.0
888,442900.0
889,333400.0
890,352400.0
891,305300.0
892,259600.0
893,248900.0
894,356000.0
895,236000.0
896,218800.0
897,228000.0
898,235900.0
899,203200.0
900,197000.0
901,236400.0
902,223200.0
903,222700.0
904,225000.0
905,240100.0
906,227900.0
907,268600.0
908,275100.0
909,256300.0
910,332400.0
911,287600.0
912,298900.0
913,287600.0
914,222200.0
915,232600.0
916,258300.0
917,230900.0
918,196900.0
919,223500.0
920,223900.0
921,243500.0
922,451100.0
923,500001.0
924,193100.0
925,264400.0
926,246900.0
927,337300.0
928,284800.0
929,217300.0
930,291700.0
931,223800.0
932,223100.0
933,211300.0
934,218500.0
935,156300.0
936,248200.0
937,186000.0
938,178200.0
939,190400.0
940,210300.0
941,208000.0
942,183300.0
943,245700.0
944,242200.0
945,181700.0
946,299400.0
947,219500.0
948,231800.0
949,221300.0
950,213800.0
951,206000.0
952,271100.0
953,336500.0
954,315600.0
955,500001.0
956,285400.0
957,323000.0
958,291900.0
959,225600.0
960,259600.0
961,262900.0
962,257300.0
963,259200.0
964,339700.0
965,337200.0
966,334100.0
967,311500.0
968,296900.0
969,247900.0
970,300400.0
971,332400.0
972,389800.0
973,233000.0
974,238500.0
975,233300.0
976,231300.0
977,475800.0
978,393200.0
979,247200.0
980,229400.0
981,282500.0
982,300600.0
983,293200.0
984,278500.0
985,352900.0
986,400000.0
987,375000.0
988,313700.0
989,139300.0
990,327500.0
991,430600.0
992,125000.0
993,450000.0
994,200200.0
995,192400.0
996,418800.0
997,216800.0
998,215500.0
999,227700.0
1000,184400.0
1001,158400.0
1002,174600.0
1003,168400.0
1004,188400.0
1005,256700.0
1006,183800.0
1007,183400.0
1008,177500.0
1009,186900.0
1010,238900.0
1011,172500.0
1012,179200.0
1013,204400.0
1014,209400.0
1015,264200.0
1016,350000.0
1017,199800.0
1018,211000.0
1019,201100.0
1020,193000.0
1021,245000.0
1022,117600.0
1023,97900.0
1024,140600.0
1025,120900.0
1026,119000.0
1027,129200.0
1028,99100.0
1029,108900.0
1030,111700.0
1031,68900.0
1032,96400.0
1033,116700.0
1034,123800.0
1035,97900.0
1036,129800.0
1037,121300.0
1038,107200.0
1039,121900.0
1040,113400.0
1041,99100.0
1042,103000.0
1043,114200.0
1044,144100.0
1045,128600.0
1046,157200.0
1047,118500.0
1048,116700.0
1049,134800.0
1050,109900.0
1051,144300.0
1052,123600.0
1053,112600.0
1054,107300.0
1055,117800.0
1056,89900.0
1057,102300.0
1058,87300.0
1059,142600.0
1060,153100.0
1061,126600.0
1062,118300.0
1063,147000.0
1064,78100.0
1065,85800.0
1066,84500.0
1067,137500.0
1068,88900.0
1069,120200.0
1070,74500.0
1071,85100.0
1072,130300.0
1073,125200.0
1074,111400.0
1075,97000.0
1076,122600.0
1077,116300.0
1078,179200.0
1079,85800.0
1080,94800.0
1081,200000.0
1082,112500.0
1083,69000.0
1084,55000.0
1085,77900.0
1086,98800.0
1087,78700.0
1088,81300.0
1089,60300.0
1090,66300.0
1091,116700.0
1092,159700.0
1093,139200.0
1094,89600.0
1095,153100.0
1096,87500.0
1097,158600.0
1098,95100.0
1099,93800.0
1100,95300.0
1101,141300.0
1102,67500.0
1103,73000.0
1104,119600.0
1105,93200.0
1106,117900.0
1107,97200.0
1108,97600.0
1109,95300.0
1110,107700.0
1111,102900.0
1112,88300.0
1113,86500.0
1114,58000.0
1115,84000.0
1116,89500.0
1117,93400.0
1118,115200.0
1119,105700.0
1120,97300.0
1121,108600.0
1122,104900.0
1123,110200.0
1124,103800.0
1125,80800.0
1126,87300.0
1127,85500.0
1128,85000.0
1129,93500.0
1130,96700.0
1131,109700.0
1132,85800.0
1133,92800.0
1134,70500.0
1135,121800.0
1136,102600.0
1137,101200.0
1138,168300.0
1139,126100.0
1140,83800.0
1141,92600.0
1142,111200.0
1143,87500.0
1144,87500.0
1145,94700.0
1146,62500.0
1147,83300.0
1148,85700.0
1149,79500.0
1150,53600.0
1151,65200.0
1152,84100.0
1153,142300.0
1154,93800.0
1155,90800.0
1156,91800.0
1157,97500.0
1158,91200.0
1159,73800.0
1160,86400.0
1161,62100.0
1162,72200.0
1163,57600.0
1164,58300.0
1165,51700.0
1166,57900.0
1167,53100.0
1168,56100.0
1169,58000.0
1170,56700.0
1171,57600.0
1172,63300.0
1173,59800.0
1174,65200.0
1175,42500.0
1176,45100.0
1177,39400.0
1178,50300.0
1179,53800.0
1180,53900.0
1181,41800.0
1182,88900.0
1183,82600.0
1184,63600.0
1185,59400.0
1186,60600.0
1187,57100.0
1188,49000.0
1189,80400.0
1190,96200.0
1191,60000.0
1192,61300.0
1193,73800.0
1194,86300.0
1195,86400.0
1196,84600.0
1197,73500.0
1198,56200.0
1199,57000.0
1200,63900.0
1201,56000.0
1202,63000.0
1203,85500.0
1204,81300.0
1205,57600.0
1206,59400.0
1207,81900.0
1208,82100.0
1209,116000.0
1210,116100.0
1211,94900.0
1212,92200.0
1213,79900.0
1214,133000.0
1215,122600.0
1216,90400.0
1217,93200.0
1218,125900.0
1219,133100.0
1220,130600.0
1221,104000.0
1222,101600.0
1223,92600.0
1224,122300.0
1225,112500.0
1226,86600.0
1227,77400.0
1228,91900.0
1229,100900.0
1230,94700.0
1231,84800.0
1232,139900.0
1233,121400.0
1234,155800.0
1235,111500.0
1236,123500.0
1237,113700.0
1238,103800.0
1239,108300.0
1240,77500.0
1241,65800.0
1242,67500.0
1243,59200.0
1244,72000.0
1245,92800.0
1246,112500.0
1247,75000.0
1248,108000.0
1249,65500.0
1250,61500.0
1251,62700.0
1252,68800.0
1253,69100.0
1254,75800.0
1255,75000.0
1256,112500.0
1257,192400.0
1258,209400.0
1259,183800.0
1260,189100.0
1261,156500.0
1262,168800.0
1263,162800.0
1264,172900.0
1265,129700.0
1266,213500.0
1267,119400.0
1268,131100.0
1269,125400.0
1270,151400.0
1271,263100.0
1272,187100.0
1273,156700.0
1274,186300.0
1275,152500.0
1276,241400.0
1277,340900.0
1278,154400.0
1279,253900.0
1280,109400.0
1281,105100.0
1282,128500.0
1283,93800.0
1284,99100.0
1285,96400.0
1286,127000.0
1287,87500.0
1288,133900.0
1289,146800.0
1290,124700.0
1291,110200.0
1292,130800.0
1293,174500.0
1294,168100.0
1295,170400.0
1296,150800.0
1297,165200.0
1298,93500.0
1299,113400.0
1300,97300.0
1301,131000.0
1302,133400.0
1303,100000.0
1304,103600.0
1305,145300.0
1306,152400.0
1307,145900.0
1308,142500.0
1309,75800.0
1310,126100.0
1311,142600.0
1312,164700.0
1313,108500.0
1314,178600.0
1315,164700.0
1316,122500.0
1317,179500.0
1318,205100.0
1319,158600.0
1320,90200.0
1321,67500.0
1322,99400.0
1323,101400.0
1324,87700.0
1325,87000.0
1326,94600.0
1327,181800.0
1328,117800.0
1329,140300.0
1330,150000.0
1331,134400.0
1332,151900.0
1333,165200.0
1334,161700.0
1335,170500.0
1336,174200.0
1337,144100.0
1338,163900.0
1339,103900.0
1340,122200.0
1341,136000.0
1342,156500.0
1343,99200.0
1344,110600.0
1345,162200.0
1346,177500.0
1347,166000.0
1348,160800.0
1349,154800.0
1350,143100.0
1351,87100.0
1352,95300.0
1353,100700.0
1354,113900.0
1355,100200.0
1356,125000.0
1357,129800.0
1358,83500.0
1359,139800.0
1360,98500.0
1361,156900.0
1362,165900.0
1363,133900.0
1364,225000.0
1365,166000.0
1366,144800.0
1367,178300.0
1368,139300.0
1369,150800.0
1370,196100.0
1371,116100.0
1372,129400.0
1373,166400.0
1374,126500.0
1375,135700.0
1376,172400.0
1377,113700.0
1378,159700.0
1379,156300.0
1380,204200.0
1381,212600.0
1382,199900.0
1383,205400.0
1384,206700.0
1385,287700.0
1386,245200.0
1387,294100.0
1388,297300.0
1389,211000.0
1390,225400.0
1391,269600.0
1392,228200.0
1393,235500.0
1394,166900.0
1395,186100.0
1396,211800.0
1397,197100.0
1398,189600.0
1399,266000.0
1400,186400.0
1401,190000.0
1402,243000.0
1403,235600.0
1404,196200.0
1405,182000.0
1406,169400.0
1407,179300.0
1408,235700.0
1409,205100.0
1410,220800.0
1411,233200.0
1412,232100.0
1413,265700.0
1414,247900.0
1415,273200.0
1416,91100.0
1417,134500.0
1418,136200.0
1419,250000.0
1420,87500.0
1421,137500.0
1422,136400.0
1423,75000.0
1424,156300.0
1425,140600.0
1426,178300.0
1427,175900.0
1428,139900.0
1429,138200.0
1430,178200.0
1431,169300.0
1432,161900.0
1433,166600.0
1434,148900.0
1435,165500.0
1436,194000.0
1437,226900.0
1438,202800.0
1439,211500.0
1440,165500.0
1441,161700.0
1442,192300.0
1443,193200.0
1444,184000.0
1445,217200.0
1446,182000.0
1447,161300.0
1448,161000.0
1449,144900.0
1450,259500.0
1451,210500.0
1452,244100.0
1453,184800.0
1454,229200.0
1455,196100.0
1456,204100.0
1457,240200.0
1458,231100.0
1459,213200.0
1460,207200.0
1461,184100.0
1462,179000.0
1463,190700.0
1464,167800.0
1465,246700.0
1466,126700.0
1467,260400.0
1468,200600.0
1469,267400.0
1470,265900.0
1471,206200.0
1472,171000.0
1473,151100.0
1474,160900.0
1475,166700.0
1476,106300.0
1477,112500.0
1478,151000.0
1479,151800.0
1480,159800.0
1481,165700.0
1482,175000.0
1483,182000.0
1484,190800.0
1485,298200.0
1486,305100.0
1487,162500.0
1488,220500.0
1489,208300.0
1490,202300.0
1491,237000.0
1492,213100.0
1493,322300.0
1494,267100.0
1495,268000.0
1496,273600.0
1497,339200.0
1498,330200.0
1499,163100.0
1500,231400.0
1501,227800.0
1502,197100.0
1503,144600.0
1504,279300.0
1505,344800.0
1506,266500.0
1507,184900.0
1508,234700.0
1509,351200.0
1510,358800.0
1511,367700.0
1512,275300.0
1513,232800.0
1514,216100.0
1515,114300.0
1516,226000.0
1517,252100.0
1518,225000.0
1519,250000.0
1520,264900.0
1521,259800.0
1522,292500.0
1523,306800.0
1524,306900.0
1525,266800.0
1526,283900.0
1527,288000.0
1528,268800.0
1529,263300.0
1530,340900.0
1531,397500.0
1532,271000.0
1533,335700.0
1534,310600.0
1535,349100.0
1536,321200.0
1537,275800.0
1538,356200.0
1539,312700.0
1540,390600.0
1541,469400.0
1542,258200.0
1543,260300.0
1544,275000.0
1545,350000.0
1546,250000.0
1547,266000.0
1548,269800.0
1549,157200.0
1550,343500.0
1551,296100.0
1552,312500.0
1553,345800.0
1554,343700.0
1555,359100.0
1556,403400.0
1557,356000.0
1558,369200.0
1559,341300.0
1560,356700.0
1561,425100.0
1562,356100.0
1563,461400.0
1564,432400.0
1565,434700.0
1566,350000.0
1567,381900.0
1568,324600.0
1569,399300.0
1570,443800.0
1571,386600.0
1572,256400.0
1573,200000.0
1574,500001.0
1575,294800.0
1576,188500.0
1577,359300.0
1578,358700.0
1579,287300.0
1580,441400.0
1581,494000.0
1582,500001.0
1583,500001.0
1584,398200.0
1585,500001.0
1586,500001.0
1587,372000.0
1588,351300.0
1589,450400.0
1590,382200.0
1591,500001.0
1592,294400.0
1593,500001.0
1594,455300.0
1595,406500.0
1596,310300.0
1597,279500.0
1598,348200.0
1599,433300.0
1600,257100.0
1601,350000.0
1602,426100.0
1603,394400.0
1604,387200.0
1605,99400.0
1606,85000.0
1607,102700.0
1608,186500.0
1609,155000.0
1610,252400.0
1611,206300.0
1612,73400.0
1613,367100.0
1614,402600.0
1615,314200.0
1616,454100.0
1617,500001.0
1618,416500.0
1619,364500.0
1620,369900.0
1621,500001.0
1622,314000.0
1623,389900.0
1624,355600.0
1625,370200.0
1626,404300.0
1627,354200.0
1628,399700.0
1629,434500.0
1630,401800.0
1631,423200.0
1632,438000.0
1633,475000.0
1634,367500.0
1635,378100.0
1636,500001.0
1637,500001.0
1638,500001.0
1639,499000.0
1640,204200.0
1641,166800.0
1642,213700.0
1643,162500.0
1644,500001.0
1645,500001.0
1646,500001.0
1647,485400.0
1648,210100.0
1649,194700.0
1650,181200.0
1651,285400.0
1652,307000.0
1653,353600.0
1654,365800.0
1655,427700.0
1656,366700.0
1657,237400.0
1658,288000.0
1659,329400.0
1660,291700.0
1661,320400.0
1662,286900.0
1663,312600.0
1664,253600.0
1665,205100.0
1666,197600.0
1667,198500.0
1668,310700.0
1669,171100.0
1670,147100.0
1671,155700.0
1672,197000.0
1673,203700.0
1674,134500.0
1675,150200.0
1676,123000.0
1677,147700.0
1678,174200.0
1679,178900.0
1680,173200.0
1681,175400.0
1682,162000.0
1683,191100.0
1684,195000.0
1685,193300.0
1686,198000.0
1687,243200.0
1688,218600.0
1689,184800.0
1690,269400.0
1691,235600.0
1692,237700.0
1693,170500.0
1694,246400.0
1695,240300.0
1696,248700.0
1697,272900.0
1698,209800.0
1699,201000.0
1700,272400.0
1701,184000.0
1702,164700.0
1703,227400.0
1704,149700.0
1705,190000.0
1706,196600.0
1707,191400.0
1708,194200.0
1709,185000.0
1710,157800.0
1711,164300.0
1712,161000.0
1713,171100.0
1714,109000.0
1715,170800.0
1716,173500.0
1717,162800.0
1718,85100.0
1719,175000.0
1720,112500.0
1721,212500.0
1722,104200.0
1723,80400.0
1724,69800.0
1725,81300.0
1726,76400.0
1727,68600.0
1728,67500.0
1729,131300.0
1730,132900.0
1731,110000.0
1732,113600.0
1733,112200.0
1734,113800.0
1735,134100.0
1736,156600.0
1737,158800.0
1738,150100.0
1739,130800.0
1740,120700.0
1741,129400.0
1742,114200.0
1743,97200.0
1744,97700.0
1745,110300.0
1746,93900.0
1747,107800.0
1748,133700.0
1749,182800.0
1750,146100.0
1751,120800.0
1752,133300.0
1753,103600.0
1754,165100.0
1755,210800.0
1756,186900.0
1757,144600.0
1758,140400.0
1759,140800.0
1760,141600.0
1761,139100.0
1762,150800.0
1763,134100.0
1764,135800.0
1765,142600.0
1766,135300.0
1767,133400.0
1768,135100.0
1769,111700.0
1770,111600.0
1771,114600.0
1772,104700.0
1773,143300.0
1774,140300.0
1775,145500.0
1776,143900.0
1777,105200.0
1778,105200.0
1779,95600.0
1780,81700.0
1781,79000.0
1782,105800.0
1783,72900.0
1784,79700.0
1785,71600.0
1786,88000.0
1787,84300.0
1788,79400.0
1789,121600.0
1790,69100.0
1791,37900.0
1792,269800.0
1793,274500.0
1794,275000.0
1795,95000.0
1796,91500.0
1797,86100.0
1798,87000.0
1799,84200.0
1800,93800.0
1801,94000.0
1802,104200.0
1803,186800.0
1804,90300.0
1805,111500.0
1806,88300.0
1807,112100.0
1808,156300.0
1809,140600.0
1810,122400.0
1811,129100.0
1812,119600.0
1813,167800.0
1814,178400.0
1815,177800.0
1816,286500.0
1817,253400.0
1818,247300.0
1819,267700.0
1820,321600.0
1821,288200.0
1822,401000.0
1823,304000.0
1824,261900.0
1825,22500.0
1826,183300.0
1827,220100.0
1828,195800.0
1829,186900.0
1830,212200.0
1831,239000.0
1832,218100.0
1833,200400.0
1834,209100.0
1835,217200.0
1836,223000.0
1837,141700.0
1838,162500.0
1839,311400.0
1840,263200.0
1841,262000.0
1842,273700.0
1843,234900.0
1844,358500.0
1845,333700.0
1846,287500.0
1847,324400.0
1848,315500.0
1849,331200.0
1850,109400.0
1851,85800.0
1852,73200.0
1853,68400.0
1854,74600.0
1855,78300.0
1856,66900.0
1857,105900.0
1858,69500.0
1859,122400.0
1860,75000.0
1861,103600.0
1862,103100.0
1863,152700.0
1864,116700.0
1865,71100.0
1866,212500.0
1867,187500.0
1868,87500.0
1869,92200.0
1870,91300.0
1871,173400.0
1872,200000.0
